Ref,Val,Package,PosX,PosY,Rot,Side
"","","OE-LOGO-14X10",124.000000,21.500000,0.000000,top
"C1","0.1uF","C_0402_1005Metric",36.200000,20.600000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",36.100000,51.820000,90.000000,top
"C3","10uF","C_1210_3225Metric",98.500000,133.000000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",102.100000,133.000000,90.000000,top
"C5","10uF","C_1210_3225Metric",113.530000,133.000000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",36.100000,84.300000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",35.800000,67.700000,90.000000,top
"C8","0.1uF","C_0603_1608Metric",64.700000,106.900000,90.000000,top
"C9","0.1uF","C_0402_1005Metric",110.200000,56.500000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",110.200000,41.700000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",110.100000,72.600000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",110.100000,89.500000,-90.000000,top
"C13","0.1uF","C_0402_1005Metric",35.900000,36.000000,90.000000,top
"C14","0.1uF","C_0603_1608Metric",85.800000,141.600000,90.000000,top
"C15","T498X107K016ATE075","CP_EIA-7343-20_Kemet-V",93.100000,140.700000,90.000000,top
"C16","4.7uF","C_0805_2012Metric",65.500000,129.000000,180.000000,top
"C17","0.1uF","C_0603_1608Metric",65.775000,131.000000,180.000000,top
"C18","0.1uF","C_0603_1608Metric",79.500000,128.200000,0.000000,top
"C19","0.1uF","C_0603_1608Metric",65.775000,133.000000,180.000000,top
"C20","47pF","C_0603_1608Metric",71.275000,137.500000,180.000000,top
"C21","47pF","C_0603_1608Metric",74.775000,137.500000,0.000000,top
"C22","4.7nF","C_0603_1608Metric",66.945000,147.650000,180.000000,top
"C23","0.1uF","C_0603_1608Metric",70.600000,119.500000,-90.000000,top
"C24","0.1uF","C_0603_1608Metric",62.500000,110.200000,180.000000,top
"C25","0.1uF","C_0603_1608Metric",75.100000,100.100000,0.000000,top
"D1","LTST-C191KGKT","LED_0603_1608Metric",98.500000,141.000000,-90.000000,top
"D2","LTST-C191KGKT","LED_0603_1608Metric",84.100000,103.700000,180.000000,top
"D3","LTST-C191KGKT","LED_0603_1608Metric",84.112500,105.400000,180.000000,top
"D5","LTST-C191KGKT","LED_0603_1608Metric",77.900000,118.100000,90.000000,top
"D6","LTST-C191KGKT","LED_0603_1608Metric",113.500000,141.000000,-90.000000,top
"FB1","MH1608-601Y","L_0603_1608Metric",62.500000,111.700000,180.000000,top
"FB2","FBMH3216HM221NTV","L_1206_3216Metric",87.500000,137.500000,0.000000,top
